Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2025-08-15
Time (HH:MM:SS):	15:16:26
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	5000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
      363	          758 	
      364	          786 	
      365	          739 	
      366	          804 	
      367	          796 	
      368	          750 	
      369	          772 	
      370	          729 	
      371	          745 	
      372	          739 	
      373	          798 	
      374	          775 	
      375	          754 	
      376	          716 	
      377	          755 	
      378	          768 	
      379	          735 	
      380	          740 	
      381	          766 	
      382	          741 	
      383	          754 	
      384	          747 	
      385	          757 	
      386	          775 	
      387	          774 	
      388	          763 	
      389	          777 	
      390	          805 	
      391	          722 	
      392	          756 	
      393	          770 	
      394	          799 	
      395	          777 	
      396	          764 	
      397	          766 	
      398	          808 	
      399	          711 	
      400	          793 	
      401	          775 	
      402	          746 	
      403	          743 	
      404	          795 	
      405	          764 	
      406	          752 	
      407	          724 	
      408	          799 	
      409	          772 	
      410	          732 	
      411	          766 	
      412	          727 	
      413	          715 	
      414	          745 	
      415	          779 	
      416	          678 	
      417	          736 	
      418	          745 	
      419	          714 	
      420	          768 	
      421	          766 	
      422	          773 	
      423	          748 	
      424	          740 	
      425	          764 	
      426	          734 	
      427	          751 	
      428	          779 	
      429	          709 	
      430	          769 	
      431	          797 	
      432	          726 	
      433	          793 	
      434	          736 	
      435	          770 	
      436	          761 	
      437	          748 	
      438	          776 	
      439	          737 	
      440	          737 	
      441	          759 	
      442	          793 	
      443	          753 	
      444	          778 	
      445	          749 	
      446	          772 	
      447	          705 	
      448	          756 	
      449	          686 	
      450	          725 	
      451	          779 	
      452	          736 	
      453	          805 	
      454	          770 	
      455	          753 	
      456	          764 	
      457	          759 	
      458	          776 	
      459	          769 	
      460	          756 	
      461	          754 	
      462	          785 	
      463	          781 	
      464	          729 	
      465	          731 	
      466	          712 	
      467	          713 	
      468	          750 	
      469	          784 	
      470	          701 	
      471	          781 	
      472	          804 	
      473	          803 	
      474	          731 	
      475	          769 	
      476	          751 	
      477	          782 	
      478	          762 	
      479	          769 	
      480	          747 	
      481	          726 	
      482	          787 	
      483	          744 	
      484	          761 	
      485	          713 	
      486	          723 	
      487	          684 	
      488	          813 	
      489	          744 	
      490	          766 	
      491	          796 	
      492	          739 	
      493	          751 	
      494	          760 	
      495	          697 	
      496	          836 	
      497	          762 	
      498	          786 	
      499	          772 	
      500	          812 	
      501	          761 	
      502	          739 	
      503	          759 	
      504	          730 	
      505	          760 	
      506	          792 	
      507	          701 	
      508	          796 	
      509	          768 	
      510	          815 	
      511	          781 	
      512	          759 	
      513	          754 	
      514	          771 	
      515	          780 	
      516	          729 	
      517	          761 	
      518	          772 	
      519	          751 	
      520	          803 	
      521	          731 	
      522	          722 	
      523	          767 	
      524	          731 	
      525	          798 	
      526	          751 	
      527	          773 	
      528	          720 	
      529	          746 	
      530	          781 	
      531	          728 	
      532	          748 	
      533	          719 	
      534	          732 	
      535	          716 	
      536	          747 	
      537	          732 	
      538	          823 	
      539	          761 	
      540	          808 	
      541	          758 	
      542	          763 	
      543	          745 	
      544	          793 	
      545	          756 	
      546	          754 	
      547	          767 	
      548	          763 	
