# bins en theta = 200.00 deg
# bin_length_s = 0.001000
# bin	counts	CPS
1	304	304000.000
2	291	291000.000
3	312	312000.000
4	290	290000.000
5	305	305000.000
6	264	264000.000
7	294	294000.000
8	282	282000.000
9	295	295000.000
10	293	293000.000
11	290	290000.000
12	318	318000.000
13	298	298000.000
14	295	295000.000
15	278	278000.000
16	286	286000.000
17	283	283000.000
18	315	315000.000
19	287	287000.000
20	316	316000.000
21	276	276000.000
22	285	285000.000
23	311	311000.000
24	292	292000.000
25	289	289000.000
26	279	279000.000
27	259	259000.000
28	303	303000.000
29	282	282000.000
30	289	289000.000
31	304	304000.000
32	266	266000.000
33	258	258000.000
34	299	299000.000
35	270	270000.000
36	301	301000.000
37	275	275000.000
38	266	266000.000
39	288	288000.000
40	264	264000.000
41	283	283000.000
42	303	303000.000
43	291	291000.000
44	311	311000.000
45	302	302000.000
46	271	271000.000
47	324	324000.000
48	304	304000.000
49	279	279000.000
50	292	292000.000
51	305	305000.000
52	314	314000.000
53	268	268000.000
54	310	310000.000
55	323	323000.000
56	289	289000.000
57	281	281000.000
58	269	269000.000
59	284	284000.000
60	278	278000.000
61	309	309000.000
62	290	290000.000
63	296	296000.000
64	302	302000.000
65	281	281000.000
66	291	291000.000
67	298	298000.000
68	293	293000.000
69	319	319000.000
70	315	315000.000
71	320	320000.000
72	250	250000.000
73	292	292000.000
74	268	268000.000
75	278	278000.000
76	292	292000.000
77	320	320000.000
78	321	321000.000
79	293	293000.000
80	286	286000.000
81	273	273000.000
82	321	321000.000
83	311	311000.000
84	304	304000.000
85	315	315000.000
86	290	290000.000
87	280	280000.000
88	298	298000.000
89	268	268000.000
90	299	299000.000
91	303	303000.000
92	276	276000.000
93	292	292000.000
94	305	305000.000
95	309	309000.000
96	272	272000.000
97	306	306000.000
98	294	294000.000
99	301	301000.000
100	334	334000.000
101	280	280000.000
102	280	280000.000
103	262	262000.000
104	278	278000.000
105	287	287000.000
106	267	267000.000
107	286	286000.000
108	302	302000.000
109	299	299000.000
110	260	260000.000
111	257	257000.000
112	307	307000.000
113	287	287000.000
114	291	291000.000
115	287	287000.000
116	304	304000.000
117	331	331000.000
118	280	280000.000
119	303	303000.000
120	289	289000.000
121	294	294000.000
122	284	284000.000
123	262	262000.000
124	292	292000.000
125	307	307000.000
126	323	323000.000
127	310	310000.000
128	281	281000.000
129	280	280000.000
130	283	283000.000
131	294	294000.000
132	252	252000.000
133	283	283000.000
134	290	290000.000
135	290	290000.000
136	301	301000.000
137	286	286000.000
138	268	268000.000
139	307	307000.000
140	315	315000.000
141	274	274000.000
142	310	310000.000
143	305	305000.000
144	334	334000.000
145	290	290000.000
146	276	276000.000
147	247	247000.000
148	270	270000.000
149	277	277000.000
150	326	326000.000
151	304	304000.000
152	293	293000.000
153	271	271000.000
154	271	271000.000
155	312	312000.000
156	290	290000.000
157	307	307000.000
158	299	299000.000
159	285	285000.000
160	288	288000.000
161	296	296000.000
162	298	298000.000
163	330	330000.000
164	306	306000.000
165	283	283000.000
166	305	305000.000
167	272	272000.000
168	272	272000.000
169	281	281000.000
170	260	260000.000
171	309	309000.000
172	277	277000.000
173	277	277000.000
174	290	290000.000
175	271	271000.000
176	273	273000.000
177	307	307000.000
178	300	300000.000
179	286	286000.000
180	283	283000.000
181	275	275000.000
182	280	280000.000
183	327	327000.000
184	291	291000.000
185	283	283000.000
186	293	293000.000
187	282	282000.000
188	322	322000.000
189	299	299000.000
190	259	259000.000
191	290	290000.000
192	260	260000.000
193	266	266000.000
194	275	275000.000
195	288	288000.000
196	232	232000.000
197	289	289000.000
198	282	282000.000
199	268	268000.000
200	264	264000.000
201	335	335000.000
202	290	290000.000
203	298	298000.000
204	302	302000.000
205	305	305000.000
206	325	325000.000
207	291	291000.000
208	315	315000.000
209	308	308000.000
210	281	281000.000
211	302	302000.000
212	313	313000.000
213	284	284000.000
214	308	308000.000
215	259	259000.000
216	272	272000.000
217	261	261000.000
218	269	269000.000
219	291	291000.000
220	272	272000.000
221	284	284000.000
222	287	287000.000
223	289	289000.000
224	306	306000.000
225	300	300000.000
226	273	273000.000
227	329	329000.000
228	286	286000.000
229	274	274000.000
230	304	304000.000
231	318	318000.000
232	277	277000.000
233	292	292000.000
234	301	301000.000
235	299	299000.000
236	249	249000.000
237	270	270000.000
238	279	279000.000
239	266	266000.000
240	264	264000.000
241	302	302000.000
242	315	315000.000
243	327	327000.000
244	283	283000.000
245	303	303000.000
246	287	287000.000
247	305	305000.000
248	281	281000.000
249	266	266000.000
250	318	318000.000
251	279	279000.000
252	270	270000.000
253	259	259000.000
254	296	296000.000
255	333	333000.000
256	296	296000.000
257	276	276000.000
258	264	264000.000
259	304	304000.000
260	285	285000.000
261	284	284000.000
262	277	277000.000
263	295	295000.000
264	253	253000.000
265	283	283000.000
266	305	305000.000
267	293	293000.000
268	308	308000.000
269	285	285000.000
270	290	290000.000
271	272	272000.000
272	273	273000.000
273	311	311000.000
274	317	317000.000
275	288	288000.000
276	277	277000.000
277	340	340000.000
278	301	301000.000
279	348	348000.000
280	315	315000.000
281	295	295000.000
282	299	299000.000
283	269	269000.000
284	290	290000.000
285	265	265000.000
286	269	269000.000
287	293	293000.000
288	267	267000.000
289	306	306000.000
290	308	308000.000
291	259	259000.000
292	294	294000.000
293	309	309000.000
294	295	295000.000
295	298	298000.000
296	353	353000.000
297	293	293000.000
298	276	276000.000
299	272	272000.000
300	275	275000.000
301	270	270000.000
302	246	246000.000
303	305	305000.000
304	289	289000.000
305	297	297000.000
306	335	335000.000
307	305	305000.000
308	305	305000.000
309	299	299000.000
310	296	296000.000
311	266	266000.000
312	268	268000.000
313	279	279000.000
314	303	303000.000
315	305	305000.000
316	316	316000.000
317	300	300000.000
318	329	329000.000
319	275	275000.000
320	265	265000.000
321	323	323000.000
322	283	283000.000
323	287	287000.000
324	292	292000.000
325	260	260000.000
326	291	291000.000
327	266	266000.000
328	283	283000.000
329	265	265000.000
330	292	292000.000
331	311	311000.000
332	280	280000.000
333	276	276000.000
334	296	296000.000
335	293	293000.000
336	294	294000.000
337	318	318000.000
338	273	273000.000
339	267	267000.000
340	317	317000.000
341	299	299000.000
342	303	303000.000
343	288	288000.000
344	287	287000.000
345	316	316000.000
346	319	319000.000
347	278	278000.000
348	260	260000.000
349	308	308000.000
350	270	270000.000
351	298	298000.000
352	288	288000.000
353	298	298000.000
354	283	283000.000
355	297	297000.000
356	269	269000.000
357	270	270000.000
358	301	301000.000
359	298	298000.000
360	301	301000.000
361	265	265000.000
362	297	297000.000
363	285	285000.000
364	288	288000.000
365	288	288000.000
366	293	293000.000
367	308	308000.000
368	289	289000.000
369	289	289000.000
370	284	284000.000
371	296	296000.000
372	276	276000.000
373	290	290000.000
374	293	293000.000
375	297	297000.000
376	291	291000.000
377	263	263000.000
378	238	238000.000
379	300	300000.000
380	277	277000.000
381	276	276000.000
382	293	293000.000
383	274	274000.000
384	292	292000.000
385	279	279000.000
386	286	286000.000
387	318	318000.000
388	319	319000.000
389	267	267000.000
390	271	271000.000
391	283	283000.000
392	281	281000.000
393	334	334000.000
394	301	301000.000
395	288	288000.000
396	333	333000.000
397	292	292000.000
398	258	258000.000
399	274	274000.000
400	304	304000.000
401	298	298000.000
402	301	301000.000
403	254	254000.000
404	304	304000.000
405	285	285000.000
406	282	282000.000
407	294	294000.000
408	264	264000.000
409	310	310000.000
410	309	309000.000
411	264	264000.000
412	275	275000.000
413	288	288000.000
414	277	277000.000
415	293	293000.000
416	285	285000.000
417	324	324000.000
418	309	309000.000
419	284	284000.000
420	311	311000.000
421	317	317000.000
422	264	264000.000
423	279	279000.000
424	259	259000.000
425	271	271000.000
426	287	287000.000
427	251	251000.000
428	273	273000.000
429	288	288000.000
430	294	294000.000
431	289	289000.000
432	279	279000.000
433	268	268000.000
434	335	335000.000
435	319	319000.000
436	286	286000.000
437	282	282000.000
438	285	285000.000
439	289	289000.000
440	322	322000.000
441	318	318000.000
442	251	251000.000
443	328	328000.000
444	303	303000.000
445	293	293000.000
446	297	297000.000
447	291	291000.000
448	260	260000.000
449	301	301000.000
450	287	287000.000
451	304	304000.000
452	279	279000.000
453	308	308000.000
454	243	243000.000
455	273	273000.000
456	299	299000.000
457	290	290000.000
458	264	264000.000
459	314	314000.000
460	309	309000.000
461	261	261000.000
462	265	265000.000
463	281	281000.000
464	290	290000.000
465	281	281000.000
466	274	274000.000
467	253	253000.000
468	276	276000.000
469	307	307000.000
470	283	283000.000
471	291	291000.000
472	307	307000.000
473	257	257000.000
474	298	298000.000
475	301	301000.000
476	282	282000.000
477	291	291000.000
478	329	329000.000
479	291	291000.000
480	307	307000.000
481	266	266000.000
482	292	292000.000
483	288	288000.000
484	274	274000.000
485	299	299000.000
486	271	271000.000
487	315	315000.000
488	276	276000.000
489	312	312000.000
490	311	311000.000
491	274	274000.000
492	279	279000.000
493	267	267000.000
494	288	288000.000
495	246	246000.000
496	276	276000.000
497	281	281000.000
498	282	282000.000
499	291	291000.000
500	297	297000.000
501	281	281000.000
502	318	318000.000
503	273	273000.000
504	321	321000.000
505	267	267000.000
506	291	291000.000
507	322	322000.000
508	303	303000.000
509	303	303000.000
510	306	306000.000
511	303	303000.000
512	296	296000.000
513	291	291000.000
514	275	275000.000
515	294	294000.000
516	289	289000.000
517	312	312000.000
518	319	319000.000
519	297	297000.000
520	288	288000.000
521	313	313000.000
522	259	259000.000
523	300	300000.000
524	293	293000.000
525	275	275000.000
526	298	298000.000
527	281	281000.000
528	309	309000.000
529	292	292000.000
530	310	310000.000
531	286	286000.000
532	257	257000.000
533	267	267000.000
534	305	305000.000
535	276	276000.000
536	297	297000.000
537	283	283000.000
538	299	299000.000
539	283	283000.000
540	298	298000.000
541	304	304000.000
542	295	295000.000
543	323	323000.000
544	274	274000.000
545	263	263000.000
546	289	289000.000
547	293	293000.000
548	276	276000.000
549	269	269000.000
550	299	299000.000
551	292	292000.000
552	290	290000.000
553	298	298000.000
554	305	305000.000
555	286	286000.000
556	286	286000.000
557	293	293000.000
558	282	282000.000
559	288	288000.000
560	321	321000.000
561	286	286000.000
562	279	279000.000
563	280	280000.000
564	335	335000.000
565	288	288000.000
566	302	302000.000
567	270	270000.000
568	289	289000.000
569	263	263000.000
570	336	336000.000
571	278	278000.000
572	288	288000.000
573	300	300000.000
574	317	317000.000
575	282	282000.000
576	288	288000.000
577	284	284000.000
578	305	305000.000
579	292	292000.000
580	323	323000.000
581	304	304000.000
582	291	291000.000
583	321	321000.000
584	306	306000.000
585	306	306000.000
586	290	290000.000
587	296	296000.000
588	278	278000.000
589	263	263000.000
590	311	311000.000
591	310	310000.000
592	289	289000.000
593	283	283000.000
594	298	298000.000
595	294	294000.000
596	296	296000.000
597	277	277000.000
598	313	313000.000
599	316	316000.000
600	258	258000.000
601	286	286000.000
602	264	264000.000
603	327	327000.000
604	289	289000.000
605	318	318000.000
606	295	295000.000
607	307	307000.000
608	277	277000.000
609	260	260000.000
610	301	301000.000
611	271	271000.000
612	313	313000.000
