"Date","October-20-2023"
"Time","17h15m53s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",1
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",1.499999e-02
"Number of Measurements",1024
"Record Rate",8
"Record Time [s]",1.228799e+02
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
0.000000e+00,-4.726141e-01,8.643967e-01,-1.716225e-01,5.933395e+01,-4.941084e+00,2.636929e-01,-1.122981e+01,1.295481e+00,-3.220045e+01,6.024970e-07,
1.199999e-01,-5.845737e-01,7.803990e-01,-2.219256e-01,6.341790e+01,-6.411079e+00,2.077131e-01,-1.587440e+01,1.475510e+00,-3.220962e+01,6.012260e-07,
2.399999e-01,-4.821782e-01,8.504896e-01,-2.101706e-01,5.977536e+01,-6.066175e+00,2.589109e-01,-1.388068e+01,1.523505e+00,-3.220535e+01,6.018178e-07,
3.599998e-01,-5.661077e-01,8.073787e-01,-1.663179e-01,6.251844e+01,-4.786902e+00,2.169462e-01,-1.163996e+01,1.364603e+00,-3.220659e+01,6.016460e-07,
4.799997e-01,-6.281558e-01,7.717269e-01,-9.928665e-02,6.457213e+01,-2.849047e+00,1.859221e-01,-7.331126e+00,1.509361e+00,-3.220933e+01,6.012660e-07,
5.999997e-01,-3.907719e-01,9.172723e-01,-7.686938e-02,5.653737e+01,-2.204320e+00,3.046141e-01,-4.790316e+00,1.414602e+00,-3.219819e+01,6.028110e-07,
7.199996e-01,-6.090245e-01,7.697290e-01,-1.913279e-01,6.417587e+01,-5.515145e+00,1.954877e-01,-1.395885e+01,1.476645e+00,-3.221082e+01,6.010605e-07,
8.399996e-01,-5.411711e-01,8.176164e-01,-1.965636e-01,6.175006e+01,-5.668039e+00,2.294144e-01,-1.351797e+01,1.550990e+00,-3.220878e+01,6.013432e-07,
9.599995e-01,-5.997320e-01,7.852845e-01,-1.537850e-01,6.368472e+01,-4.423169e+00,2.001340e-01,-1.108021e+01,1.399747e+00,-3.220694e+01,6.015972e-07,
1.079999e+00,-5.328615e-01,8.430739e-01,-7.269870e-02,6.114738e+01,-2.084503e+00,2.335693e-01,-4.928453e+00,1.589756e+00,-3.220611e+01,6.017119e-07,
1.199999e+00,-4.705011e-01,8.776117e-01,-9.179605e-02,5.909822e+01,-2.633471e+00,2.647495e-01,-5.971286e+00,1.475880e+00,-3.220291e+01,6.021565e-07,
1.319999e+00,-5.619826e-01,7.981165e-01,-2.172225e-01,6.257538e+01,-6.272974e+00,2.190087e-01,-1.522534e+01,1.514105e+00,-3.220884e+01,6.013342e-07,
1.439999e+00,-5.460725e-01,8.113019e-01,-2.087918e-01,6.197189e+01,-6.025779e+00,2.269637e-01,-1.443212e+01,1.285867e+00,-3.220313e+01,6.021257e-07,
