"Date","October-20-2023"
"Time","17h23m38s"
"PAX Card Serial","M00255249"
"PAX Card Name","PAX5710 Polarization Analyzing System"
"PAX Card Next Cal","September-19-2013"
"PAX Sensor Serial","M00255490"
"PAX Sensor Name","PAN5710VIS (400 - 700nm)"
"PAX Sensor Next Cal","September-19-2012"
"Wavelength [m]",6.330000e-07
"Basic Sample Rate [SPS]",6.666670e+01
"Power Range [dBm]","Auto"
"Azimuth Offset [°]",0.000000e+00
"Number of Basic Periods",1
"Signal Averaging",1
"Result Averaging",1
"Sample Time [s]",1.499999e-02
"Number of Measurements",1024
"Record Rate",8
"Record Time [s]",1.228799e+02
"Pretrigger Measurements",0
"Pretrigger Time [s]",0.000000e+00
"Trigger Source","Auto"
"Time Stamp [s]","Stokes 1","Stokes 2","Stokes 3","Azimuth [°]","Ellipticity [°]","Power Split Ratio","Phase Difference [°]","DOP [%]","Power [dBm]","Power [W]"
3.479998e+00,-4.750207e-01,8.666821e-01,-1.523726e-01,5.936338e+01,-4.382225e+00,2.624896e-01,-9.971350e+00,1.351629e+00,-2.125268e+01,7.494308e-06,
3.599998e+00,-4.773906e-01,8.656443e-01,-1.508585e-01,5.943806e+01,-4.338340e+00,2.613047e-01,-9.885828e+00,1.363752e+00,-2.125133e+01,7.496647e-06,
3.719998e+00,-4.817973e-01,8.586318e-01,-1.749938e-01,5.964887e+01,-5.039149e+00,2.591014e-01,-1.151943e+01,1.340179e+00,-2.125267e+01,7.494337e-06,
3.839998e+00,-4.823934e-01,8.628549e-01,-1.509241e-01,5.960405e+01,-4.340242e+00,2.588033e-01,-9.921382e+00,1.345551e+00,-2.125210e+01,7.495323e-06,
3.959998e+00,-4.731056e-01,8.646229e-01,-1.691103e-01,5.934333e+01,-4.868048e+00,2.634472e-01,-1.106669e+01,1.329049e+00,-2.125231e+01,7.494957e-06,
4.079998e+00,-4.782562e-01,8.621864e-01,-1.670498e-01,5.950860e+01,-4.808165e+00,2.608719e-01,-1.096527e+01,1.332971e+00,-2.125266e+01,7.494355e-06,
4.199998e+00,-4.740467e-01,8.662692e-01,-1.576624e-01,5.934436e+01,-4.535619e+00,2.629766e-01,-1.031502e+01,1.357443e+00,-2.125279e+01,7.494129e-06,
4.319998e+00,-4.735811e-01,8.685567e-01,-1.460487e-01,5.930073e+01,-4.199005e+00,2.632094e-01,-9.545050e+00,1.356258e+00,-2.125436e+01,7.491419e-06,
4.439998e+00,-4.683312e-01,8.743777e-01,-1.270017e-01,5.908712e+01,-3.648182e+00,2.658344e-01,-8.264307e+00,1.403772e+00,-2.125474e+01,7.490762e-06,
4.559998e+00,-4.734602e-01,8.656247e-01,-1.628782e-01,5.933840e+01,-4.686997e+00,2.632699e-01,-1.065632e+01,1.340906e+00,-2.125232e+01,7.494936e-06,
4.679998e+00,-4.761144e-01,8.667732e-01,-1.483888e-01,5.938989e+01,-4.266783e+00,2.619428e-01,-9.714677e+00,1.359858e+00,-2.125456e+01,7.491073e-06,
4.799997e+00,-4.753733e-01,8.649023e-01,-1.611340e-01,5.939718e+01,-4.636363e+00,2.623133e-01,-1.055340e+01,1.352246e+00,-2.125440e+01,7.491357e-06,
4.919997e+00,-4.718247e-01,8.682192e-01,-1.535475e-01,5.926070e+01,-4.416282e+00,2.640877e-01,-1.002925e+01,1.349150e+00,-2.125244e+01,7.494724e-06,
5.039997e+00,-4.833085e-01,8.613740e-01,-1.563577e-01,5.964818e+01,-4.497773e+00,2.583457e-01,-1.028838e+01,1.342611e+00,-2.125564e+01,7.489215e-06,
5.159997e+00,-4.686801e-01,8.696021e-01,-1.553420e-01,5.916143e+01,-4.468315e+00,2.656599e-01,-1.012824e+01,1.357656e+00,-2.125233e+01,7.494913e-06,
5.279997e+00,-4.757276e-01,8.672024e-01,-1.471167e-01,5.937409e+01,-4.229937e+00,2.621362e-01,-9.628288e+00,1.358098e+00,-2.125360e+01,7.492733e-06,
5.399997e+00,-4.777944e-01,8.646226e-01,-1.553715e-01,5.946262e+01,-4.469171e+00,2.611028e-01,-1.018725e+01,1.352866e+00,-2.125473e+01,7.490773e-06,
5.519997e+00,-4.707626e-01,8.684337e-01,-1.555807e-01,5.923067e+01,-4.475239e+00,2.646187e-01,-1.015685e+01,1.347601e+00,-2.125516e+01,7.490032e-06,
5.639997e+00,-4.775826e-01,8.648581e-01,-1.547108e-01,5.945394e+01,-4.450012e+00,2.612087e-01,-1.014212e+01,1.351450e+00,-2.125550e+01,7.489453e-06,
5.759997e+00,-4.854813e-01,8.603121e-01,-1.554705e-01,5.971820e+01,-4.472042e+00,2.572593e-01,-1.024360e+01,1.354022e+00,-2.125644e+01,7.487828e-06,
