# bins en theta = 80.00 deg
# bin_length_s = 0.001000
# bin	counts	CPS
1	59	59000.000
2	66	66000.000
3	81	81000.000
4	59	59000.000
5	58	58000.000
6	64	64000.000
7	57	57000.000
8	68	68000.000
9	62	62000.000
10	55	55000.000
11	67	67000.000
12	70	70000.000
13	61	61000.000
14	54	54000.000
15	61	61000.000
16	63	63000.000
17	61	61000.000
18	71	71000.000
19	58	58000.000
20	69	69000.000
21	49	49000.000
22	80	80000.000
23	50	50000.000
24	49	49000.000
25	64	64000.000
26	51	51000.000
27	47	47000.000
28	49	49000.000
29	64	64000.000
30	68	68000.000
31	64	64000.000
32	59	59000.000
33	49	49000.000
34	54	54000.000
35	66	66000.000
36	71	71000.000
37	75	75000.000
38	65	65000.000
39	58	58000.000
40	66	66000.000
41	86	86000.000
42	65	65000.000
43	57	57000.000
44	64	64000.000
45	64	64000.000
46	55	55000.000
47	63	63000.000
48	68	68000.000
49	60	60000.000
50	71	71000.000
51	64	64000.000
52	61	61000.000
53	52	52000.000
54	70	70000.000
55	66	66000.000
56	68	68000.000
57	68	68000.000
58	57	57000.000
59	58	58000.000
60	60	60000.000
61	61	61000.000
62	64	64000.000
63	66	66000.000
64	68	68000.000
65	62	62000.000
66	61	61000.000
67	83	83000.000
68	57	57000.000
69	74	74000.000
70	66	66000.000
71	71	71000.000
72	68	68000.000
73	76	76000.000
74	82	82000.000
75	48	48000.000
76	58	58000.000
77	49	49000.000
78	70	70000.000
79	62	62000.000
80	46	46000.000
81	65	65000.000
82	73	73000.000
83	56	56000.000
84	64	64000.000
85	67	67000.000
86	51	51000.000
87	63	63000.000
88	56	56000.000
89	56	56000.000
90	64	64000.000
91	59	59000.000
92	75	75000.000
93	76	76000.000
94	91	91000.000
95	57	57000.000
96	64	64000.000
97	60	60000.000
98	78	78000.000
99	56	56000.000
100	61	61000.000
101	57	57000.000
102	57	57000.000
103	56	56000.000
104	56	56000.000
105	53	53000.000
106	68	68000.000
107	60	60000.000
108	51	51000.000
109	53	53000.000
110	61	61000.000
111	57	57000.000
112	76	76000.000
113	69	69000.000
114	58	58000.000
115	67	67000.000
116	76	76000.000
117	70	70000.000
118	69	69000.000
119	70	70000.000
120	67	67000.000
121	68	68000.000
122	54	54000.000
123	71	71000.000
124	79	79000.000
125	67	67000.000
126	63	63000.000
127	60	60000.000
128	66	66000.000
129	73	73000.000
130	77	77000.000
131	58	58000.000
132	66	66000.000
133	59	59000.000
134	63	63000.000
135	71	71000.000
136	76	76000.000
137	66	66000.000
138	61	61000.000
139	47	47000.000
140	89	89000.000
141	54	54000.000
142	66	66000.000
143	68	68000.000
144	63	63000.000
145	68	68000.000
146	66	66000.000
147	66	66000.000
148	75	75000.000
149	68	68000.000
150	58	58000.000
151	71	71000.000
152	66	66000.000
153	77	77000.000
154	52	52000.000
155	72	72000.000
156	77	77000.000
157	63	63000.000
158	59	59000.000
159	62	62000.000
160	72	72000.000
161	64	64000.000
162	61	61000.000
163	74	74000.000
164	62	62000.000
165	73	73000.000
166	60	60000.000
167	71	71000.000
168	69	69000.000
169	72	72000.000
170	63	63000.000
171	62	62000.000
172	59	59000.000
173	70	70000.000
