Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2026-05-04
Time (HH:MM:SS):	09:00:44
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	1
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	Yes
Array Measurement Continuously:	No
Bins per Array:	10000
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
      363	           13 	
      364	            9 	
      365	           11 	
      366	           11 	
      367	           12 	
      368	           10 	
      369	           11 	
      370	           11 	
      371	           20 	
      372	           12 	
      373	           11 	
      374	           12 	
      375	            7 	
      376	            9 	
      377	           10 	
      378	           14 	
      379	           14 	
      380	            9 	
      381	           13 	
      382	           11 	
      383	           11 	
      384	           11 	
      385	            6 	
      386	            8 	
      387	           10 	
      388	           10 	
      389	           10 	
      390	            9 	
      391	            9 	
      392	           11 	
      393	            8 	
      394	           11 	
      395	            7 	
      396	           11 	
      397	           14 	
      398	           14 	
      399	            8 	
      400	           10 	
      401	            7 	
      402	           11 	
      403	            8 	
      404	           12 	
      405	            8 	
      406	           17 	
      407	           10 	
      408	           18 	
      409	            4 	
      410	           10 	
      411	           10 	
      412	           14 	
      413	            9 	
      414	           13 	
      415	            6 	
      416	            8 	
      417	            7 	
      418	           12 	
      419	           12 	
      420	           10 	
      421	           15 	
      422	           18 	
      423	           12 	
      424	            5 	
      425	            6 	
      426	            9 	
      427	            9 	
      428	            9 	
      429	           18 	
      430	           17 	
      431	           13 	
      432	           14 	
      433	            8 	
      434	           11 	
      435	           11 	
      436	           11 	
      437	           10 	
      438	           15 	
      439	           10 	
      440	            7 	
      441	           12 	
      442	            8 	
      443	           12 	
      444	           10 	
      445	           10 	
      446	            7 	
      447	            9 	
      448	           16 	
      449	            5 	
      450	            4 	
      451	            8 	
      452	           13 	
      453	           17 	
      454	           11 	
      455	           11 	
      456	            7 	
      457	           11 	
      458	           20 	
      459	           12 	
      460	           16 	
      461	           13 	
      462	           11 	
      463	            9 	
      464	            6 	
      465	           10 	
      466	           19 	
      467	           18 	
      468	           11 	
      469	           10 	
      470	           15 	
      471	           12 	
      472	           12 	
      473	            9 	
      474	           13 	
      475	           10 	
      476	            8 	
      477	           11 	
