Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS150-5C
Serial Number          ,       M00303913

Date MM-DD-YYYY        ,       10-25-2025
Time HH:MM:SS          ,       18:55:15


*** CAMERA ***
Camera Type            ,       Thorlabs DCU224M
Camera SN              ,       4102714222
Resolution X           ,       768
Resolution Y           ,       768
Exposure Time [ms]     ,      41.685
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -0.835
Beam Center Y [mm]     ,      -0.009
Beam Diameter X [mm]   ,       2.731
Beam Diameter Y [mm]   ,       3.075


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       1
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       3.000
Pupil Diameter Y [mm]  ,       3.000
Pupil Center X [mm]    ,      -0.835
Pupil Center Y [mm]    ,      -0.009


*** ZERNIKE FIT ***
Zernike Orders Auto    ,       0
Zernike Orders         ,       4
Zernike Modes          ,       15
Unit                   ,       µm
Index  Order  Frequency  Coefficient
   1,     0,     0,       -5.014
   2,     1,    -1,      -11.483
   3,     1,     1,       41.000
   4,     2,    -2,       -0.131
   5,     2,     0,      -26.376
   6,     2,     2,        0.378
   7,     3,    -3,       -0.392
   8,     3,    -1,        0.616
   9,     3,     1,       -0.101
  10,     3,     3,        1.210
  11,     4,    -4,        0.254
  12,     4,    -2,       -0.145
  13,     4,     0,        0.792
  14,     4,     2,       -0.923
  15,     4,     4,        0.314

Fit Error Mean [arcmin]  ,   8.855e-10
Fit Error StdDev [arcmin],   7.463e-03


*** RMS WAVEFRONT VARIATIONS ***
Unit                   ,       µm
Order  Variation
   0,      5.014
   1,     42.577
   2,     26.379
   3,      1.417
   4,      1.290


*** FOURIER NOTATION ***
Fourier Order          ,       2
Fourier M              ,      81.216
Fourier J0             ,      -0.823
Fourier J45            ,       0.284


*** OPTOMETRIC NOTATION ***
Optometric Sphere [dpt],      82.086
Optometric Cyl. [dpt]  ,      -1.741
Optometric Axis [deg]  ,      80.474

Radius of Curvature[mm],      12.313


*** WAVEFRONT ***
Reference              ,       Internal Reference
Unit                   ,       µm
Wavelength [nm]        ,        633.000
Type                   ,       Measured
Calculation Area       ,       entire area
PV                     ,     101.990
RMS                    ,      24.073
RMS weighted           ,      20.812
Spots X                ,       21
Spots Y                ,       21
y / x [mm],    -1.500,    -1.350,    -1.200,    -1.050,    -0.900,    -0.750,    -0.600,    -0.450,    -0.300,    -0.150,     0.000,     0.150,     0.300,     0.450,     0.600,     0.750,     0.900,     1.050,     1.200,     1.350,     1.500,
     1.500,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     1.350,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,   -56.731,   -56.470,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     1.200,       NaN,       NaN,       NaN,   -75.720,   -66.459,   -59.034,   -53.105,   -48.805,   -45.785,   -44.506,   -44.618,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     1.050,       NaN,       NaN,   -75.976,   -64.969,   -55.101,   -47.011,   -40.863,   -36.284,   -33.419,   -32.079,   -33.080,   -35.984,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     0.900,       NaN,       NaN,   -66.447,   -54.485,   -44.488,   -36.397,   -30.188,   -25.568,   -22.882,   -21.656,   -22.815,   -25.889,   -30.085,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     0.750,       NaN,       NaN,   -58.096,   -45.797,   -35.623,   -27.452,   -21.230,   -16.745,   -14.453,   -13.450,   -14.489,   -17.536,   -21.815,   -27.565,   -34.726,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
     0.600,       NaN,       NaN,   -50.988,   -38.843,   -28.706,   -20.531,   -14.394,   -10.084,    -7.626,    -7.097,    -8.305,   -11.016,   -15.152,   -20.948,   -28.305,   -36.908,   -46.341,   -55.890,   -65.719,   -76.565,       NaN,
     0.450,       NaN,       NaN,   -46.514,   -34.457,   -24.234,   -16.036,    -9.772,    -5.783,    -3.270,    -2.823,    -3.757,    -6.233,   -10.299,   -16.188,   -23.556,   -32.509,   -42.487,   -53.040,   -63.856,   -75.833,       NaN,
     0.300,       NaN,       NaN,   -43.948,   -32.000,   -21.930,   -13.787,    -7.089,    -2.813,    -0.331,     0.153,    -0.752,    -3.261,    -7.198,   -13.067,   -20.569,   -29.802,   -40.229,   -51.216,   -61.879,   -73.485,       NaN,
     0.150,       NaN,       NaN,   -43.276,   -31.183,   -20.989,   -12.824,    -6.143,    -1.803,     0.684,     1.363,     0.564,    -1.779,    -5.670,   -11.555,   -19.265,   -28.744,   -39.507,   -50.641,   -61.820,   -72.531,       NaN,
     0.000,       NaN,       NaN,   -44.397,   -32.246,   -22.156,   -13.924,    -7.458,    -3.152,    -0.734,     0.336,     0.000,    -2.210,    -6.289,   -12.213,   -20.133,   -29.749,   -40.714,   -51.679,   -62.241,   -72.512,   -82.192,
    -0.150,       NaN,       NaN,   -47.495,   -35.384,   -25.440,   -17.508,   -11.211,    -6.741,    -3.988,    -2.572,    -2.652,    -4.283,    -8.565,   -14.688,   -22.722,   -32.417,       NaN,       NaN,       NaN,       NaN,       NaN,
    -0.300,       NaN,       NaN,   -52.912,   -40.807,   -30.709,   -22.614,   -16.195,   -11.850,    -8.840,    -7.201,    -7.552,    -9.312,   -13.650,   -19.738,   -27.649,   -37.279,       NaN,       NaN,       NaN,       NaN,       NaN,
    -0.450,       NaN,       NaN,   -60.019,   -48.074,   -37.930,   -29.532,   -23.203,   -19.044,   -15.863,   -14.210,   -14.569,   -16.912,   -21.129,   -27.056,   -34.803,   -44.055,       NaN,       NaN,       NaN,       NaN,       NaN,
    -0.600,       NaN,       NaN,   -69.065,   -57.239,   -47.108,   -38.559,   -32.395,   -28.280,   -25.049,   -23.484,   -23.832,   -26.202,   -30.317,   -36.130,   -43.737,   -52.149,       NaN,       NaN,       NaN,       NaN,       NaN,
    -0.750,       NaN,       NaN,   -80.630,   -68.691,   -58.540,   -49.982,   -43.635,   -39.468,   -36.494,   -34.935,   -35.367,   -37.818,   -41.924,   -47.647,   -54.652,   -62.407,       NaN,       NaN,       NaN,       NaN,       NaN,
    -0.900,       NaN,       NaN,   -93.755,   -82.164,   -72.020,   -63.566,   -57.046,   -52.864,   -50.259,   -48.838,   -49.074,   -51.290,   -55.197,   -60.848,   -67.041,   -73.813,       NaN,       NaN,       NaN,       NaN,       NaN,
    -1.050,       NaN,       NaN,       NaN,       NaN,   -87.328,   -79.042,   -72.546,   -68.428,   -65.836,   -64.543,   -64.537,   -66.188,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
    -1.200,       NaN,       NaN,       NaN,       NaN,  -100.627,   -92.546,   -86.326,   -82.499,   -80.110,   -79.548,   -80.569,   -82.412,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
    -1.350,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
    -1.500,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
