# potencia laser durante la medida en theta = 270.00 deg
# t[s]	P[uW]
0.0198	100057.11364
0.4394	99975.42785
0.8619	99991.36654
1.2806	99991.36654
1.7021	100024.24009
2.1245	99975.42785
2.5469	100073.05233
2.9647	99991.36654
3.3871	100024.24009
3.8096	100041.17495
4.2320	100024.24009
4.6504	100024.24009
5.0688	100024.24009
5.4907	99991.36654
5.9112	100024.24009
6.3336	100008.30140
6.7560	100024.24009
7.1759	100024.24009
7.5983	100008.30140
8.0208	100041.17495
8.4434	100073.05233
8.8623	100008.30140
9.2848	100105.92587
9.7171	100041.17495
