# potencia laser durante la medida en theta = 310.00 deg
# t[s]	P[uW]
0.0189	100073.05233
0.4367	100041.17495
0.8557	100057.11364
1.2795	99991.36654
1.7018	100041.17495
2.1243	100024.24009
2.5468	100008.30140
2.9649	99991.36654
3.3835	99975.42785
3.8025	100089.98718
4.2216	99991.36654
4.6441	100024.24009
5.0629	100008.30140
5.4871	100008.30140
5.9095	100057.11364
6.3284	100041.17495
6.7507	100024.24009
7.1731	99991.36654
7.5915	100024.24009
8.0140	99975.42785
8.4364	100008.30140
8.8589	100008.30140
9.2816	100041.17495
9.7128	99991.36654
