# potencia laser durante la medida en theta = 300.00 deg
# t[s]	P[uW]
0.0199	100041.17495
0.4384	100024.24009
0.8609	100041.17495
1.2887	100057.11364
1.7069	99991.36654
2.1292	100105.92587
2.5476	100057.11364
2.9700	100057.11364
3.3924	100008.30140
3.8148	100008.30140
4.2373	99975.42785
4.6598	100024.24009
5.0790	100041.17495
5.5024	99991.36654
5.9248	100024.24009
6.3431	100008.30140
6.7656	100057.11364
7.1880	100024.24009
7.6105	99991.36654
8.0288	99991.36654
8.4513	99991.36654
8.8697	99991.36654
9.2939	100024.24009
9.7163	99991.36654
