# potencia laser durante la medida en theta = 220.00 deg
# t[s]	P[uW]
0.0192	100024.24009
0.4417	100057.11364
0.8601	100024.24009
1.2826	99975.42785
1.7051	100041.17495
2.1275	100041.17495
2.5500	100008.30140
2.9724	99991.36654
3.3915	99991.36654
3.8139	100024.24009
4.2364	99975.42785
4.6551	100041.17495
5.0779	99991.36654
5.4960	100057.11364
5.9184	100041.17495
6.3367	99991.36654
6.7592	100041.17495
7.1816	99975.42785
7.5997	100024.24009
8.0181	100041.17495
8.4406	100057.11364
8.8630	99991.36654
9.2847	100073.05233
9.7123	100041.17495
