# potencia laser durante la medida en theta = 110.00 deg
# t[s]	P[uW]
0.0209	99975.42785
0.4435	99959.48917
0.8665	100041.17495
1.2896	100073.05233
1.7109	99975.42785
2.1333	100008.30140
2.5513	100008.30140
2.9737	100008.30140
3.3962	100024.24009
3.8186	100057.11364
4.2412	100057.11364
4.6696	100008.30140
5.0984	100024.24009
5.5207	100024.24009
5.9394	99991.36654
6.3617	100041.17495
6.7842	100008.30140
7.2055	100024.24009
7.6240	100024.24009
8.0465	99959.48917
8.4724	100008.30140
8.9054	100057.11364
9.3277	100024.24009
9.7500	100041.17495
