# potencia laser durante la medida en theta = 330.00 deg
# t[s]	P[uW]
0.0194	100041.17495
0.4381	100008.30140
0.8605	99942.55431
1.2837	100008.30140
1.7064	100008.30140
2.1287	99991.36654
2.5511	99991.36654
2.9736	100089.98718
3.3960	100024.24009
3.8186	99991.36654
4.2411	99959.48917
4.6636	99991.36654
5.0882	99959.48917
5.5067	100024.24009
5.9292	100041.17495
6.3516	100008.30140
6.7695	100024.24009
7.1919	100008.30140
7.6143	100008.30140
8.0325	100008.30140
8.4549	99991.36654
8.8803	99959.48917
9.3094	100024.24009
9.7273	100057.11364
