# potencia laser durante la medida en theta = 20.00 deg
# t[s]	P[uW]
0.0200	99991.36654
0.4389	99991.36654
0.8614	99991.36654
1.2802	99959.48917
1.7027	100024.24009
2.1251	99991.36654
2.5435	100008.30140
2.9612	100024.24009
3.3803	99991.36654
3.8028	99991.36654
4.2252	100024.24009
4.6477	99975.42785
5.0669	100041.17495
5.4932	99975.42785
5.9156	100024.24009
6.3380	100024.24009
6.7605	100008.30140
7.1781	100008.30140
7.6005	100008.30140
8.0230	99959.48917
8.4421	99959.48917
8.8601	99975.42785
9.2833	99959.48917
9.7029	99975.42785
