# potencia laser durante la medida en theta = 160.00 deg
# t[s]	P[uW]
0.0190	100057.11364
0.4368	100008.30140
0.8643	100041.17495
1.2873	100024.24009
1.7097	100041.17495
2.1321	99991.36654
2.5546	100024.24009
2.9770	100041.17495
3.3995	100089.98718
3.8172	100024.24009
4.2351	100041.17495
4.6576	100008.30140
5.0770	100008.30140
5.4991	100041.17495
5.9215	99959.48917
6.3391	100057.11364
6.7616	100089.98718
7.1795	100041.17495
7.6020	99991.36654
8.0205	100008.30140
8.4430	100024.24009
8.8719	100041.17495
9.3013	99975.42785
9.7191	100041.17495
