# potencia laser durante la medida en theta = 350.00 deg
# t[s]	P[uW]
0.0228	99991.36654
0.4415	99991.36654
0.8661	99975.42785
1.2900	100024.24009
1.7078	100073.05233
2.1261	100024.24009
2.5438	100024.24009
2.9659	99991.36654
3.3883	100057.11364
3.8062	100024.24009
4.2242	100008.30140
4.6467	99975.42785
5.0699	99991.36654
5.4878	99959.48917
5.9103	100041.17495
6.3327	100024.24009
6.7552	99959.48917
7.1777	99991.36654
7.6002	100089.98718
8.0227	100057.11364
8.4406	100024.24009
8.8630	100041.17495
9.2916	100041.17495
9.7140	100024.24009
