# potencia laser durante la medida en theta = 180.00 deg
# t[s]	P[uW]
0.0195	100041.17495
0.4420	100105.92587
0.8671	100008.30140
1.2850	99975.42785
1.7074	100008.30140
2.1298	100024.24009
2.5523	99942.55431
2.9748	100024.24009
3.3972	100057.11364
3.8197	100008.30140
4.2386	100041.17495
4.6572	99959.48917
5.0789	100041.17495
5.5012	100008.30140
5.9202	99991.36654
6.3427	100008.30140
6.7651	99975.42785
7.1876	99991.36654
7.6062	100008.30140
8.0287	100073.05233
8.4511	100041.17495
8.8744	100008.30140
9.3026	100041.17495
9.7213	99975.42785
