# potencia laser durante la medida en theta = 50.00 deg
# t[s]	P[uW]
0.0196	100024.24009
0.4391	100008.30140
0.8616	100008.30140
1.2906	99991.36654
1.7117	100057.11364
2.1341	99991.36654
2.5565	100024.24009
2.9755	100041.17495
3.3980	100041.17495
3.8205	99975.42785
4.2429	99975.42785
4.6615	100008.30140
5.0857	99991.36654
5.5081	100073.05233
5.9305	100024.24009
6.3530	100008.30140
6.7754	100041.17495
7.1979	100073.05233
7.6204	100041.17495
8.0428	100024.24009
8.4652	100008.30140
8.8832	99942.55431
9.3087	100024.24009
9.7310	100008.30140
