# potencia laser durante la medida en theta = 60.00 deg
# t[s]	P[uW]
0.0190	99991.36654
0.4415	100057.11364
0.8649	100024.24009
1.2880	100073.05233
1.7055	100024.24009
2.1279	99991.36654
2.5456	99959.48917
2.9680	99991.36654
3.3905	99991.36654
3.8129	99975.42785
4.2318	100024.24009
4.6543	100008.30140
5.0732	100008.30140
5.4962	99991.36654
5.9186	100073.05233
6.3375	99975.42785
6.7599	99991.36654
7.1823	100041.17495
7.6047	99975.42785
8.0232	100024.24009
8.4419	99991.36654
8.8644	100057.11364
9.2897	99991.36654
9.7121	100041.17495
