# potencia laser durante la medida en theta = 140.00 deg
# t[s]	P[uW]
0.0193	100008.30140
0.4417	99975.42785
0.8716	100008.30140
1.2951	99991.36654
1.7175	100024.24009
2.1389	99991.36654
2.5570	99975.42785
2.9795	99959.48917
3.4019	100008.30140
3.8205	100008.30140
4.2428	99991.36654
4.6652	99991.36654
5.0922	99975.42785
5.5132	99991.36654
5.9357	99942.55431
6.3582	100024.24009
6.7805	100008.30140
7.2030	99975.42785
7.6216	100041.17495
8.0442	100024.24009
8.4667	99975.42785
8.8923	99959.48917
9.3118	100008.30140
9.7343	100024.24009
