# potencia laser durante la medida en theta = 250.00 deg
# t[s]	P[uW]
0.0198	100073.05233
0.4386	100008.30140
0.8634	100024.24009
1.2869	100041.17495
1.7092	99991.36654
2.1316	100041.17495
2.5540	99991.36654
2.9765	100024.24009
3.3989	99975.42785
3.8181	100073.05233
4.2406	100041.17495
4.6675	100024.24009
5.0951	100008.30140
5.5176	100008.30140
5.9401	100024.24009
6.3626	100057.11364
6.7851	100024.24009
7.2026	100008.30140
7.6251	100024.24009
8.0476	100008.30140
8.4709	99975.42785
8.9031	100024.24009
9.3208	100073.05233
9.7432	100008.30140
