# potencia laser durante la medida en theta = 320.00 deg
# t[s]	P[uW]
0.0189	99975.42785
0.4377	100041.17495
0.8601	100073.05233
1.2887	99991.36654
1.7070	100041.17495
2.1252	100024.24009
2.5476	100041.17495
2.9660	100024.24009
3.3885	100057.11364
3.8067	100041.17495
4.2291	100041.17495
4.6468	100041.17495
5.0693	100024.24009
5.4928	100008.30140
5.9153	100041.17495
6.3334	100073.05233
6.7557	99991.36654
7.1783	100024.24009
7.6007	99975.42785
8.0190	99959.48917
8.4381	100041.17495
8.8568	100008.30140
9.2845	100008.30140
9.7146	100041.17495
