# potencia laser durante la medida en theta = 90.00 deg
# t[s]	P[uW]
0.0196	100041.17495
0.4421	99991.36654
0.8647	100024.24009
1.2827	100041.17495
1.7050	100041.17495
2.1234	100073.05233
2.5458	100024.24009
2.9646	100024.24009
3.3870	100121.86456
3.8095	99991.36654
4.2278	99959.48917
4.6502	99991.36654
5.0686	100041.17495
5.4901	100057.11364
5.9125	100024.24009
6.3308	100008.30140
6.7503	100041.17495
7.1727	100024.24009
7.5951	100008.30140
8.0175	100041.17495
8.4400	99991.36654
8.8624	100008.30140
9.2855	100008.30140
9.7164	100008.30140
