# potencia laser durante la medida en theta = 40.00 deg
# t[s]	P[uW]
0.0196	100024.24009
0.4374	100057.11364
0.8599	99991.36654
1.2886	99991.36654
1.7111	99959.48917
2.1335	99926.61562
2.5559	99991.36654
2.9738	100041.17495
3.3964	100089.98718
3.8189	100041.17495
4.2414	99959.48917
4.6612	99959.48917
5.0801	99991.36654
5.5031	100008.30140
5.9255	99975.42785
6.3479	100024.24009
6.7666	99975.42785
7.1889	99991.36654
7.6114	99975.42785
8.0312	99975.42785
8.4504	100008.30140
8.8791	100008.30140
9.3096	100073.05233
9.7319	99991.36654
