# potencia laser durante la medida en theta = 240.00 deg
# t[s]	P[uW]
0.0192	100041.17495
0.4416	100073.05233
0.8690	100024.24009
1.2924	100008.30140
1.7116	100024.24009
2.1341	100041.17495
2.5566	100057.11364
2.9790	100041.17495
3.3972	100008.30140
3.8197	100057.11364
4.2421	100024.24009
4.6599	100008.30140
5.0830	100024.24009
5.5054	100008.30140
5.9279	100008.30140
6.3464	99959.48917
6.7688	100041.17495
7.1873	99959.48917
7.6097	99991.36654
8.0323	100024.24009
8.4547	99991.36654
8.8773	99975.42785
9.3073	100024.24009
9.7256	99959.48917
