# potencia laser durante la medida en theta = 130.00 deg
# t[s]	P[uW]
0.0194	100008.30140
0.4419	99991.36654
0.8645	100008.30140
1.2877	100073.05233
1.7101	100008.30140
2.1290	99991.36654
2.5476	99991.36654
2.9655	100057.11364
3.3880	100041.17495
3.8104	100024.24009
4.2329	99975.42785
4.6510	100041.17495
5.0735	100041.17495
5.4971	100073.05233
5.9195	99991.36654
6.3374	100024.24009
6.7551	100041.17495
7.1775	99991.36654
7.5999	99991.36654
8.0174	100024.24009
8.4360	100008.30140
8.8550	100008.30140
9.2775	99975.42785
9.7051	100057.11364
