# potencia laser durante la medida en theta = 100.00 deg
# t[s]	P[uW]
0.0191	99991.36654
0.4418	100024.24009
0.8670	100041.17495
1.2897	100008.30140
1.7084	100024.24009
2.1285	99991.36654
2.5474	99991.36654
2.9699	99991.36654
3.3884	100008.30140
3.8069	99942.55431
4.2253	100008.30140
4.6477	100057.11364
5.0663	100024.24009
5.4923	100008.30140
5.9110	100041.17495
6.3337	100024.24009
6.7561	99991.36654
7.1785	100057.11364
7.5977	100024.24009
8.0157	99991.36654
8.4383	99991.36654
8.8569	99991.36654
9.2795	99975.42785
9.7141	100057.11364
