# potencia laser durante la medida en theta = 190.00 deg
# t[s]	P[uW]
0.0218	100024.24009
0.4410	100024.24009
0.8634	100024.24009
1.2842	100008.30140
1.7067	100073.05233
2.1291	100057.11364
2.5482	99991.36654
2.9707	100024.24009
3.3931	100008.30140
3.8114	100089.98718
4.2306	99991.36654
4.6531	100024.24009
5.0801	100008.30140
5.5068	100057.11364
5.9293	100041.17495
6.3517	100024.24009
6.7742	99959.48917
7.1966	99959.48917
7.6191	99991.36654
8.0375	99991.36654
8.4601	99991.36654
8.8843	100024.24009
9.3130	100041.17495
9.7353	100057.11364
