# potencia laser durante la medida en theta = 340.00 deg
# t[s]	P[uW]
0.0201	99959.48917
0.4393	100008.30140
0.8569	99959.48917
1.2761	99975.42785
1.6985	99991.36654
2.1209	100008.30140
2.5433	100008.30140
2.9609	100041.17495
3.3791	99991.36654
3.7973	100024.24009
4.2197	100024.24009
4.6422	100024.24009
5.0713	100041.17495
5.4900	100024.24009
5.9124	100041.17495
6.3348	100024.24009
6.7571	100041.17495
7.1796	100008.30140
7.5985	100024.24009
8.0209	100008.30140
8.4395	100073.05233
8.8619	100008.30140
9.2878	100024.24009
9.7102	100008.30140
