# potencia laser durante la medida en theta = 360.00 deg
# t[s]	P[uW]
0.0233	100008.30140
0.4461	100105.92587
0.8688	100041.17495
1.2906	100057.11364
1.7090	99991.36654
2.1314	100041.17495
2.5538	100024.24009
2.9724	100008.30140
3.3906	100024.24009
3.8131	100024.24009
4.2355	100024.24009
4.6579	100073.05233
5.0785	100024.24009
5.5009	100024.24009
5.9184	100057.11364
6.3409	100024.24009
6.7633	100024.24009
7.1857	99991.36654
7.6083	100008.30140
8.0307	99991.36654
8.4531	99975.42785
8.8762	99991.36654
9.3030	99991.36654
9.7253	100057.11364
