# potencia laser durante la medida en theta = 260.00 deg
# t[s]	P[uW]
0.0188	100008.30140
0.4391	100089.98718
0.8575	100041.17495
1.2834	100024.24009
1.7015	99975.42785
2.1239	99991.36654
2.5463	100008.30140
2.9650	100041.17495
3.3874	100057.11364
3.8098	100041.17495
4.2323	99959.48917
4.6547	99991.36654
5.0772	100008.30140
5.5046	100057.11364
5.9270	100089.98718
6.3459	99991.36654
6.7684	100024.24009
7.1909	100024.24009
7.6094	99991.36654
8.0319	100008.30140
8.4501	100024.24009
8.8726	99975.42785
9.2923	99975.42785
9.7251	100024.24009
