# potencia laser durante la medida en theta = 290.00 deg
# t[s]	P[uW]
0.0295	100008.30140
0.4520	99975.42785
0.8703	99975.42785
1.2926	100041.17495
1.7107	99991.36654
2.1331	100041.17495
2.5555	100041.17495
2.9733	99975.42785
3.3915	100041.17495
3.8139	100024.24009
4.2364	100008.30140
4.6541	100057.11364
5.0767	100008.30140
5.4996	100024.24009
5.9221	100024.24009
6.3446	99991.36654
6.7670	100057.11364
7.1894	100008.30140
7.6072	100057.11364
8.0296	100008.30140
8.4521	99959.48917
8.8761	100024.24009
9.2945	100105.92587
9.7168	100041.17495
