# potencia laser durante la medida en theta = 150.00 deg
# t[s]	P[uW]
0.0193	100073.05233
0.4419	100041.17495
0.8605	100024.24009
1.2830	100024.24009
1.7030	99942.55431
2.1254	99942.55431
2.5440	100073.05233
2.9665	100041.17495
3.3889	100073.05233
3.8113	99942.55431
4.2338	99975.42785
4.6562	100024.24009
5.0793	100008.30140
5.5050	100008.30140
5.9239	100057.11364
6.3463	100041.17495
6.7688	100024.24009
7.1913	100057.11364
7.6100	100057.11364
8.0285	100057.11364
8.4510	100057.11364
8.8735	99991.36654
9.2997	99975.42785
9.7221	99991.36654
