# potencia laser durante la medida en theta = 280.00 deg
# t[s]	P[uW]
0.0206	100041.17495
0.4431	99991.36654
0.8684	99975.42785
1.2923	100041.17495
1.7147	100008.30140
2.1372	99991.36654
2.5596	99991.36654
2.9774	100008.30140
3.3999	100089.98718
3.8224	99991.36654
4.2403	100057.11364
4.6627	100024.24009
5.0891	100024.24009
5.5115	99991.36654
5.9341	99942.55431
6.3566	99991.36654
6.7744	100024.24009
7.1968	100105.92587
7.6193	100024.24009
8.0419	100024.24009
8.4644	100073.05233
8.8932	100024.24009
9.3151	99991.36654
9.7343	99975.42785
