# potencia laser durante la medida en theta = 80.00 deg
# t[s]	P[uW]
0.0203	100024.24009
0.4429	99975.42785
0.8661	100057.11364
1.2886	100024.24009
1.7063	100073.05233
2.1286	100008.30140
2.5466	100089.98718
2.9690	100024.24009
3.3914	100024.24009
3.8139	100008.30140
4.2320	100073.05233
4.6545	99991.36654
5.0790	100008.30140
5.5014	99991.36654
5.9239	100008.30140
6.3463	99959.48917
6.7687	99991.36654
7.1872	99975.42785
7.6097	100008.30140
8.0322	99991.36654
8.4546	100041.17495
8.8736	100024.24009
9.3038	99991.36654
9.7263	100073.05233
