# potencia laser durante la medida en theta = 0.00 deg
# t[s]	P[uW]
0.0192	100024.24009
0.4380	100024.24009
0.8566	100008.30140
1.2827	100073.05233
1.7050	100041.17495
2.1234	99991.36654
2.5411	100041.17495
2.9635	100024.24009
3.3860	100041.17495
3.8073	100089.98718
4.2299	100041.17495
4.6479	100008.30140
5.0709	100024.24009
5.4956	100024.24009
5.9182	99975.42785
6.3397	99991.36654
6.7583	100057.11364
7.1807	99991.36654
7.5989	100057.11364
8.0213	100089.98718
8.4438	100041.17495
8.8618	100041.17495
9.2844	100041.17495
9.7111	100024.24009
