# Ley de Malus por conteo de fotones
# fecha: 2026-06-26T16:56:16
# potencia_CH1_mW:    100.000
# factor_calib_PIC:   0.99506
# bin_length_ms:      1.000
# time_between_ms:    0.001
# pulse_blind_ns:     0.000
# bins_per_array:     10000
# t_integracion_s:    10.010
# sigma_angulo_deg:   0.5
# columnas: angulo[deg]	sigma_angulo[deg]	CPS	sigma_CPS	P[uW]	sigma_P[uW]	I_norm[CPS/uW]	sigma_I_norm
0.00	0.500	393213.9000	201.9022	99976.90633	5.08918	3.933050e+00	2.149191e-03
10.00	0.500	339627.5000	188.7245	100003.35833	6.79948	3.396158e+00	2.054066e-03
20.00	0.500	319908.1000	186.8076	99981.01095	5.84892	3.199702e+00	2.193022e-03
30.00	0.500	287524.5000	173.9923	100014.84297	5.71364	2.874799e+00	1.800092e-03
40.00	0.500	242443.4000	157.4332	99989.05435	4.44036	2.424705e+00	1.797413e-03
50.00	0.500	206452.2000	146.6467	99993.82234	5.31368	2.064664e+00	1.842247e-03
60.00	0.500	138021.7000	119.7649	99994.56863	6.18912	1.380299e+00	1.196694e-03
70.00	0.500	100884.3000	101.6153	100002.73641	7.26078	1.008817e+00	1.004386e-03
80.00	0.500	91740.7000	98.4696	100005.38991	6.96050	9.173654e-01	1.064421e-03
90.00	0.500	81926.8000	92.0621	99989.17873	5.59112	8.193578e-01	1.024469e-03
100.00	0.500	81241.0000	91.9437	99997.96842	5.87526	8.124296e-01	9.791674e-04
110.00	0.500	105977.5000	105.7543	100001.99012	6.02360	1.059745e+00	1.167384e-03
120.00	0.500	152723.3000	126.7431	99997.22213	5.73857	1.527270e+00	1.372284e-03
130.00	0.500	46561.6000	853.7543	99994.61009	5.33673	4.656461e-01	8.547409e-02
140.00	0.500	269988.8000	168.0179	99974.95767	6.26751	2.700546e+00	1.643534e-03
150.00	0.500	308057.2000	178.3579	99982.37915	7.54517	3.081083e+00	1.755447e-03
130.00	0.500	203426.5000	144.8975	99990.50547	6.85261	2.034454e+00	1.767589e-03
160.00	0.500	381479.1000	204.2626	99990.33963	6.66618	3.815133e+00	2.765494e-03
170.00	0.500	437446.5000	218.1800	99961.31706	8.43482	4.376239e+00	2.507023e-03
180.00	0.500	390238.7000	204.0153	99964.75831	7.29618	3.903757e+00	2.193792e-03
190.00	0.500	333152.2000	191.4339	99953.93704	5.35587	3.333046e+00	2.460542e-03
180.00	0.500	382841.0000	201.9292	99995.85392	6.09867	3.828552e+00	2.271400e-03
170.00	0.500	424490.4000	211.1572	100022.96929	5.38824	4.243917e+00	2.323477e-03
190.00	0.500	324494.6000	186.4257	100006.09474	6.76019	3.244713e+00	2.138928e-03
200.00	0.500	291457.4000	174.9811	100008.00194	5.91117	2.914321e+00	2.284073e-03
210.00	0.500	256793.0000	162.6281	100002.65349	6.97820	2.567839e+00	1.602419e-03
220.00	0.500	220288.4000	150.0216	99989.80064	6.12847	2.203120e+00	1.588597e-03
230.00	0.500	174076.0000	135.1020	99979.68420	7.59043	1.741098e+00	1.379348e-03
240.00	0.500	129412.0000	115.2552	99989.13727	6.54094	1.294258e+00	1.305369e-03
250.00	0.500	99205.2000	101.3754	99990.42255	6.41758	9.921459e-01	9.961123e-04
260.00	0.500	78975.4000	89.7991	99980.26465	7.01971	7.899101e-01	9.018785e-04
270.00	0.500	72561.1000	86.5646	99997.13920	6.38915	7.256349e-01	9.021452e-04
280.00	0.500	81854.6000	92.5093	99999.83416	7.46551	8.185448e-01	9.047340e-04
290.00	0.500	102445.6000	103.6568	99995.27347	7.07864	1.024512e+00	1.012209e-03
300.00	0.500	119243.6000	112.8518	99987.76906	6.70321	1.192595e+00	1.205535e-03
310.00	0.500	185281.1000	139.1202	99985.82040	5.95057	1.853064e+00	1.361366e-03
320.00	0.500	228666.9000	155.8399	100003.48271	5.62189	2.286584e+00	1.741304e-03
330.00	0.500	244985.5000	160.7241	99985.73748	5.08078	2.450212e+00	1.612020e-03
340.00	0.500	288037.8000	174.3072	99991.79076	8.57140	2.880586e+00	2.031647e-03
350.00	0.500	330745.6000	186.3795	100004.64361	7.31404	3.307276e+00	1.987985e-03
360.00	0.500	362710.9000	198.3392	99998.67325	6.64966	3.627148e+00	2.998038e-03
