# Ley de Malus por conteo de fotones
# fecha: 2026-06-23T16:48:45
# potencia_CH1_mW:    100.000
# factor_calib_PIC:   0.99617
# bin_length_ms:      1.000
# time_between_ms:    0.001
# pulse_blind_ns:     0.000
# bins_per_array:     10000
# t_integracion_s:    10.010
# sigma_angulo_deg:   0.5
# columnas: angulo[deg]	sigma_angulo[deg]	CPS	sigma_CPS	P[uW]	sigma_P[uW]	I_norm[CPS/uW]	sigma_I_norm
0.00	0.500	482336.4000	223.3242	100031.96039	6.00409	4.821819e+00	4.250613e-03
10.00	0.500	470833.2000	219.2764	100012.70114	9.30284	4.707696e+00	3.596913e-03
20.00	0.500	438156.2000	209.1416	99995.14368	4.99453	4.381780e+00	2.538004e-03
30.00	0.500	390974.6000	203.2898	99993.73244	5.58513	3.910057e+00	3.343328e-03
40.00	0.500	336950.6000	185.3103	100001.28672	7.91717	3.369477e+00	2.435057e-03
50.00	0.500	254151.3000	164.6382	100016.93486	6.30108	2.541089e+00	1.963841e-03
60.00	0.500	175152.6000	135.0132	100011.37292	6.59664	1.751314e+00	1.520366e-03
70.00	0.500	110634.1000	106.8273	100004.02618	7.63348	1.106298e+00	1.218962e-03
80.00	0.500	63783.6000	81.5967	100018.22157	7.07110	6.377182e-01	8.258641e-04
90.00	0.500	44184.2000	68.8064	100024.44762	6.66202	4.417359e-01	7.549487e-04
100.00	0.500	53852.6000	76.1559	100010.70881	5.73225	5.384644e-01	8.252090e-04
110.00	0.500	90429.3000	99.3785	100017.68198	6.19846	9.041269e-01	2.101055e-03
120.00	0.500	148613.9000	125.5262	100011.58045	7.16956	1.485973e+00	1.930808e-03
130.00	0.500	222332.8000	151.9491	100018.26308	5.97941	2.222908e+00	2.469157e-03
140.00	0.500	306931.0000	182.3879	99995.14368	5.01214	3.069462e+00	3.254261e-03
150.00	0.500	386302.0000	208.9899	100020.96104	8.57680	3.862261e+00	4.710221e-03
160.00	0.500	470538.9000	225.5452	100027.97572	6.38711	4.704096e+00	4.878772e-03
170.00	0.500	519964.1000	236.0683	100010.16922	7.43902	5.199094e+00	4.145973e-03
180.00	0.500	536463.0000	249.2072	100014.98403	7.55012	5.363868e+00	4.562003e-03
190.00	0.500	498767.2000	233.1975	100020.29692	6.68908	4.986656e+00	7.587777e-03
200.00	0.500	481827.2000	224.2694	100025.77585	6.51467	4.816996e+00	4.476087e-03
210.00	0.500	410607.0000	209.2228	100023.78351	7.95692	4.105158e+00	4.064968e-03
220.00	0.500	349991.2000	189.3949	100021.70816	6.06182	3.499146e+00	3.295589e-03
230.00	0.500	255751.7000	163.0046	100016.89335	5.92256	2.557067e+00	2.591701e-03
240.00	0.500	172667.4000	134.0689	100015.64814	6.35764	1.726419e+00	1.313836e-03
250.00	0.500	110900.7000	106.9753	100023.03639	5.63134	1.108764e+00	1.423427e-03
260.00	0.500	60633.5000	80.2657	100017.64048	7.03269	6.062267e-01	1.323028e-03
270.00	0.500	38679.9000	62.9401	100023.65899	6.48589	3.867096e-01	8.977268e-04
280.00	0.500	52888.0000	74.7337	100016.81034	7.75741	5.287944e-01	8.979165e-04
290.00	0.500	96867.1000	99.8695	100020.42145	6.83272	9.684695e-01	1.088968e-03
300.00	0.500	171541.1000	132.9398	100021.62515	6.37036	1.715052e+00	1.366801e-03
310.00	0.500	235456.5000	156.6362	100020.33843	6.18075	2.354117e+00	2.376890e-03
320.00	0.500	295279.3000	173.8355	100024.53064	6.06523	2.952037e+00	2.104112e-03
330.00	0.500	382508.0000	195.8198	100006.76564	6.74062	3.824835e+00	2.338709e-03
340.00	0.500	460583.9000	214.4393	100014.27841	5.35950	4.605135e+00	2.500078e-03
350.00	0.500	474013.6000	215.5821	100016.89335	7.02476	4.739311e+00	2.280466e-03
360.00	0.500	512116.2000	229.8409	100024.32310	6.22913	5.119890e+00	4.659764e-03
