# potencia laser durante la medida en theta = 50.00 deg
# t[s]	P[uW]
0.0190	100027.36414
0.4413	99978.60622
0.8637	100027.36414
1.2861	99994.52717
1.7084	99978.60622
2.1306	99978.60622
2.5488	100010.44813
2.9710	99994.52717
3.3932	99978.60622
3.8155	100027.36414
4.2376	99961.69021
4.6599	100010.44813
5.0853	99961.69021
5.5074	100010.44813
5.9257	99978.60622
6.3430	100010.44813
6.7653	99961.69021
7.1875	99961.69021
7.6096	99961.69021
8.0318	100059.20604
8.4493	99994.52717
8.8760	99978.60622
9.3069	100010.44813
9.7291	99994.52717
