# potencia laser durante la medida en theta = 310.00 deg
# t[s]	P[uW]
0.0205	99961.69021
0.4390	99994.52717
0.8563	99978.60622
1.2840	99945.76926
1.7078	99994.52717
2.1262	100027.36414
2.5484	99929.84830
2.9706	99978.60622
3.3927	99978.60622
3.8149	99994.52717
4.2372	99978.60622
4.6594	99978.60622
5.0866	99978.60622
5.5142	99945.76926
5.9364	100027.36414
6.3540	99978.60622
6.7761	99961.69021
7.1948	100043.28509
7.6146	99994.52717
8.0324	100010.44813
8.4546	99945.76926
8.8769	100027.36414
9.3060	99994.52717
9.7252	100010.44813
