# potencia laser durante la medida en theta = 360.00 deg
# t[s]	P[uW]
0.0218	99978.60622
0.4441	100010.44813
0.8644	99978.60622
1.2876	99994.52717
1.7097	100010.44813
2.1280	99961.69021
2.5502	100076.12205
2.9724	100027.36414
3.3946	100043.28509
3.8135	99994.52717
4.2357	99961.69021
4.6536	99994.52717
5.0765	99978.60622
5.4988	99994.52717
5.9176	99978.60622
6.3360	100043.28509
6.7583	99945.76926
7.1757	99994.52717
7.5980	99978.60622
8.0202	100027.36414
8.4424	100059.20604
8.8714	99978.60622
9.3006	99978.60622
9.7228	99978.60622
