# potencia laser durante la medida en theta = 270.00 deg
# t[s]	P[uW]
0.0201	100027.36414
0.4424	100010.44813
0.8614	99961.69021
1.2787	99961.69021
1.7009	100010.44813
2.1230	99945.76926
2.5453	99978.60622
2.9637	99961.69021
3.3859	99961.69021
3.8033	99994.52717
4.2210	100043.28509
4.6432	100010.44813
5.0615	100043.28509
5.4886	100043.28509
5.9108	100010.44813
6.3297	100027.36414
6.7520	99978.60622
7.1742	100010.44813
7.5965	99929.84830
8.0143	100010.44813
8.4366	100010.44813
8.8587	99994.52717
9.2810	99994.52717
9.6984	100010.44813
