# potencia laser durante la medida en theta = 40.00 deg
# t[s]	P[uW]
0.0189	99994.52717
0.4412	99994.52717
0.8595	100010.44813
1.2782	100010.44813
1.7004	99994.52717
2.1188	99978.60622
2.5409	99994.52717
2.9631	100010.44813
3.3821	100010.44813
3.8006	99945.76926
4.2189	99978.60622
4.6412	100027.36414
5.0634	99961.69021
5.4916	99994.52717
5.9138	99945.76926
6.3360	99961.69021
6.7582	100010.44813
7.1804	99994.52717
7.5977	99994.52717
8.0158	99994.52717
8.4381	99961.69021
8.8604	100010.44813
9.2913	99978.60622
9.7124	99978.60622
