# potencia laser durante la medida en theta = 250.00 deg
# t[s]	P[uW]
0.0203	99961.69021
0.4425	99994.52717
0.8600	99961.69021
1.2797	99994.52717
1.6984	99994.52717
2.1204	100010.44813
2.5395	99929.84830
2.9616	100043.28509
3.3839	100043.28509
3.8060	99945.76926
4.2283	100010.44813
4.6505	99978.60622
5.0786	99978.60622
5.5052	100010.44813
5.9273	100010.44813
6.3474	99994.52717
6.7649	99945.76926
7.1871	99994.52717
7.6092	100010.44813
8.0311	99994.52717
8.4533	99994.52717
8.8756	100027.36414
9.2982	100010.44813
9.7253	99929.84830
