# potencia laser durante la medida en theta = 10.00 deg
# t[s]	P[uW]
0.0245	99994.52717
0.4468	99994.52717
0.8705	100010.44813
1.2937	100027.36414
1.7160	100043.28509
2.1383	100010.44813
2.5558	99978.60622
2.9745	100010.44813
3.3928	99978.60622
3.8151	100027.36414
4.2372	99978.60622
4.6548	100076.12205
5.0776	99961.69021
5.5003	100043.28509
5.9186	99961.69021
6.3409	99945.76926
6.7631	100027.36414
7.1852	100027.36414
7.6074	99961.69021
8.0252	100027.36414
8.4474	99994.52717
8.8696	99961.69021
9.2914	100043.28509
9.7118	99994.52717
