# potencia laser durante la medida en theta = 120.00 deg
# t[s]	P[uW]
0.0200	99978.60622
0.4423	99978.60622
0.8694	100010.44813
1.2881	99978.60622
1.7102	99961.69021
2.1324	99945.76926
2.5508	99978.60622
2.9694	100059.20604
3.3916	100027.36414
3.8091	99978.60622
4.2306	100010.44813
4.6529	99994.52717
5.0754	99978.60622
5.5009	100010.44813
5.9231	100027.36414
6.3454	100059.20604
6.7675	100010.44813
7.1897	99978.60622
7.6119	99961.69021
8.0300	100010.44813
8.4522	100010.44813
8.8745	99994.52717
9.3034	99994.52717
9.7238	99994.52717
