# potencia laser durante la medida en theta = 210.00 deg
# t[s]	P[uW]
0.0191	99929.84830
0.4379	99994.52717
0.8602	100010.44813
1.2792	100010.44813
1.7008	99945.76926
2.1190	99978.60622
2.5412	100043.28509
2.9593	99978.60622
3.3815	100010.44813
3.8038	100043.28509
4.2216	99945.76926
4.6401	99994.52717
5.0579	99994.52717
5.4811	100027.36414
5.9078	100043.28509
6.3300	100010.44813
6.7486	100027.36414
7.1709	100010.44813
7.5931	100010.44813
8.0153	100043.28509
8.4376	99994.52717
8.8564	100027.36414
9.2807	100043.28509
9.7032	99945.76926
