# potencia laser durante la medida en theta = 90.00 deg
# t[s]	P[uW]
0.0238	100010.44813
0.4460	99978.60622
0.8707	100010.44813
1.2939	99961.69021
1.7123	99994.52717
2.1346	99994.52717
2.5568	99978.60622
2.9790	100027.36414
3.4012	100010.44813
3.8235	99994.52717
4.2458	99978.60622
4.6742	100027.36414
5.0918	99929.84830
5.5140	99978.60622
5.9362	99961.69021
6.3538	99994.52717
6.7711	100027.36414
7.1934	99994.52717
7.6156	99978.60622
8.0379	99929.84830
8.4602	99994.52717
8.8778	99994.52717
9.3038	99961.69021
9.7260	100027.36414
