# potencia laser durante la medida en theta = 70.00 deg
# t[s]	P[uW]
0.0196	99994.52717
0.4381	99994.52717
0.8603	99945.76926
1.2823	100027.36414
1.7044	99929.84830
2.1225	100043.28509
2.5447	100043.28509
2.9670	100076.12205
3.3850	100027.36414
3.8073	99961.69021
4.2259	100027.36414
4.6482	100010.44813
5.0705	100027.36414
5.4965	99978.60622
5.9187	100010.44813
6.3361	100027.36414
6.7582	99994.52717
7.1804	99945.76926
7.6026	100043.28509
8.0214	100010.44813
8.4398	99994.52717
8.8620	99994.52717
9.2842	99978.60622
9.7156	99978.60622
