# potencia laser durante la medida en theta = 130.00 deg
# t[s]	P[uW]
0.0219	99961.69021
0.4400	99961.69021
0.8623	100010.44813
1.2850	100010.44813
1.7074	99929.84830
2.1295	100027.36414
2.5517	99994.52717
2.9739	99961.69021
3.3961	100027.36414
3.8184	100010.44813
4.2382	99929.84830
4.6574	99978.60622
5.0796	99978.60622
5.5049	99978.60622
5.9270	100059.20604
6.3492	99994.52717
6.7713	100043.28509
7.1892	99978.60622
7.6115	99978.60622
8.0337	100010.44813
8.4559	100027.36414
8.8781	99994.52717
9.3053	99978.60622
9.7275	99945.76926
