# potencia laser durante la medida en theta = 330.00 deg
# t[s]	P[uW]
0.0241	99994.52717
0.4423	99994.52717
0.8708	99945.76926
1.2941	99961.69021
1.7163	99978.60622
2.1385	100010.44813
2.5565	99929.84830
2.9787	99994.52717
3.4010	99994.52717
3.8231	100010.44813
4.2453	99978.60622
4.6736	99994.52717
5.1001	99961.69021
5.5223	99978.60622
5.9445	99994.52717
6.3622	99978.60622
6.7843	99945.76926
7.2030	99994.52717
7.6252	100010.44813
8.0475	100027.36414
8.4651	100027.36414
8.8916	99994.52717
9.3138	99994.52717
9.7360	99961.69021
