# potencia laser durante la medida en theta = 30.00 deg
# t[s]	P[uW]
0.0214	99978.60622
0.4442	100043.28509
0.8687	100010.44813
1.2915	100059.20604
1.7137	100076.12205
2.1359	100010.44813
2.5580	99978.60622
2.9756	100010.44813
3.3930	99978.60622
3.8107	99994.52717
4.2330	100010.44813
4.6552	100027.36414
5.0741	100043.28509
5.4994	99994.52717
5.9217	99994.52717
6.3438	100027.36414
6.7660	99994.52717
7.1882	100010.44813
7.6104	100059.20604
8.0290	100027.36414
8.4490	99978.60622
8.8678	99994.52717
9.2936	100043.28509
9.7154	100010.44813
