# potencia laser durante la medida en theta = 60.00 deg
# t[s]	P[uW]
0.0211	100027.36414
0.4418	99978.60622
0.8710	100059.20604
1.2939	100027.36414
1.7161	100010.44813
2.1336	100027.36414
2.5522	100010.44813
2.9744	100010.44813
3.3967	99994.52717
3.8189	99961.69021
4.2411	99945.76926
4.6634	99945.76926
5.0894	99978.60622
5.5115	99978.60622
5.9336	99978.60622
6.3558	99945.76926
6.7782	99994.52717
7.1965	100027.36414
7.6188	99994.52717
8.0411	100027.36414
8.4596	99994.52717
8.8882	99961.69021
9.3071	99978.60622
9.7293	100010.44813
