# potencia laser durante la medida en theta = 110.00 deg
# t[s]	P[uW]
0.0194	99978.60622
0.4416	99978.60622
0.8604	99994.52717
1.2829	99978.60622
1.7065	100027.36414
2.1241	100010.44813
2.5462	99945.76926
2.9684	99978.60622
3.3907	99994.52717
3.8094	100027.36414
4.2270	99994.52717
4.6493	99961.69021
5.0715	100059.20604
5.5006	100010.44813
5.9217	99961.69021
6.3439	100043.28509
6.7625	99994.52717
7.1847	99978.60622
7.6041	100027.36414
8.0263	100010.44813
8.4452	99994.52717
8.8629	100010.44813
9.2853	100043.28509
9.7176	100043.28509
