# potencia laser durante la medida en theta = 190.00 deg
# t[s]	P[uW]
0.0236	99945.76926
0.4411	99961.69021
0.8661	99994.52717
1.2882	100027.36414
1.7096	100027.36414
2.1311	99961.69021
2.5526	100043.28509
2.9742	99994.52717
3.3958	99945.76926
3.8130	100027.36414
4.2304	100027.36414
4.6521	99994.52717
5.0802	99994.52717
5.5018	100010.44813
5.9234	99994.52717
6.3451	99994.52717
6.7625	100076.12205
7.1842	99994.52717
7.6060	100027.36414
8.0278	99978.60622
8.4474	100059.20604
8.8647	100027.36414
9.2907	100027.36414
9.7077	100010.44813
