# potencia laser durante la medida en theta = 150.00 deg
# t[s]	P[uW]
0.0237	99961.69021
0.4460	99978.60622
0.8683	99978.60622
1.2974	99912.93229
1.7154	100027.36414
2.1376	100027.36414
2.5563	99961.69021
2.9785	99929.84830
3.3959	99961.69021
3.8147	99978.60622
4.2360	99945.76926
4.6583	99961.69021
5.0847	99978.60622
5.5033	99978.60622
5.9208	100010.44813
6.3429	99945.76926
6.7608	100027.36414
7.1829	100010.44813
7.6052	100027.36414
8.0227	99961.69021
8.4449	99945.76926
8.8672	99978.60622
9.2895	100027.36414
9.7068	100059.20604
