# potencia laser durante la medida en theta = 280.00 deg
# t[s]	P[uW]
0.0230	100010.44813
0.4453	100010.44813
0.8695	100043.28509
1.2929	100010.44813
1.7151	100010.44813
2.1374	100010.44813
2.5549	100059.20604
2.9771	100010.44813
3.3945	100010.44813
3.8168	100043.28509
4.2344	99978.60622
4.6566	99994.52717
5.0844	99961.69021
5.5066	99945.76926
5.9247	99994.52717
6.3468	100010.44813
6.7642	100043.28509
7.1864	99978.60622
7.6086	100010.44813
8.0262	99929.84830
8.4485	99929.84830
8.8671	99978.60622
9.2938	99961.69021
9.7112	100059.20604
