# potencia laser durante la medida en theta = 350.00 deg
# t[s]	P[uW]
0.0187	99978.60622
0.4372	99994.52717
0.8595	99978.60622
1.2817	100010.44813
1.7039	99961.69021
2.1261	100043.28509
2.5483	99978.60622
2.9705	100027.36414
3.3910	99978.60622
3.8131	99961.69021
4.2328	100027.36414
4.6511	99961.69021
5.0761	99978.60622
5.5034	100010.44813
5.9213	100092.04301
6.3390	99961.69021
6.7612	100010.44813
7.1834	100027.36414
7.6010	100059.20604
8.0232	100043.28509
8.4455	100010.44813
8.8677	100010.44813
9.2951	99961.69021
9.7136	100043.28509
