# potencia laser durante la medida en theta = 200.00 deg
# t[s]	P[uW]
0.0205	99994.52717
0.4430	100010.44813
0.8653	100043.28509
1.2876	100010.44813
1.7097	99994.52717
2.1317	100010.44813
2.5538	100010.44813
2.9760	100043.28509
3.3940	100010.44813
3.8128	100010.44813
4.2302	99945.76926
4.6477	100043.28509
5.0651	100027.36414
5.4899	99978.60622
5.9121	100059.20604
6.3341	99961.69021
6.7563	99978.60622
7.1785	99978.60622
7.6007	99994.52717
8.0194	100010.44813
8.4379	100027.36414
8.8601	99994.52717
9.2825	99994.52717
9.7104	100059.20604
