# potencia laser durante la medida en theta = 220.00 deg
# t[s]	P[uW]
0.0188	100027.36414
0.4411	99994.52717
0.8688	100043.28509
1.2871	99994.52717
1.7093	99994.52717
2.1277	99961.69021
2.5498	99978.60622
2.9701	99929.84830
3.3886	100010.44813
3.8108	99945.76926
4.2330	99929.84830
4.6554	99994.52717
5.0825	100010.44813
5.5048	100010.44813
5.9232	99994.52717
6.3408	100010.44813
6.7631	99978.60622
7.1854	99945.76926
7.6027	99978.60622
8.0213	100027.36414
8.4397	100010.44813
8.8620	99978.60622
9.2808	99994.52717
9.7079	100010.44813
