# potencia laser durante la medida en theta = 260.00 deg
# t[s]	P[uW]
0.0189	99994.52717
0.4364	99961.69021
0.8587	100043.28509
1.2775	99945.76926
1.6980	99978.60622
2.1202	99978.60622
2.5424	100010.44813
2.9647	100027.36414
3.3836	99978.60622
3.8019	99994.52717
4.2241	99929.84830
4.6464	99978.60622
5.0687	99961.69021
5.4940	99880.09533
5.9161	99994.52717
6.3335	99961.69021
6.7538	99945.76926
7.1759	100010.44813
7.5980	100010.44813
8.0202	99978.60622
8.4424	99994.52717
8.8647	99994.52717
9.2838	99961.69021
9.7142	100010.44813
