# potencia laser durante la medida en theta = 290.00 deg
# t[s]	P[uW]
0.0193	100043.28509
0.4385	100027.36414
0.8609	100010.44813
1.2796	99978.60622
1.7002	99978.60622
2.1224	100076.12205
2.5409	99945.76926
2.9592	99994.52717
3.3814	99994.52717
3.8036	100043.28509
4.2258	99978.60622
4.6438	99929.84830
5.0621	99978.60622
5.4866	99978.60622
5.9088	99994.52717
6.3274	100010.44813
6.7495	100010.44813
7.1717	99945.76926
7.5896	99945.76926
8.0118	99994.52717
8.4295	99978.60622
8.8518	100027.36414
9.2792	100010.44813
9.7121	100010.44813
