# potencia laser durante la medida en theta = 80.00 deg
# t[s]	P[uW]
0.0211	100043.28509
0.4433	100043.28509
0.8617	100010.44813
1.2847	100027.36414
1.7085	100043.28509
2.1283	99961.69021
2.5504	100027.36414
2.9725	100010.44813
3.3904	99961.69021
3.8126	99994.52717
4.2348	100059.20604
4.6571	99978.60622
5.0793	100027.36414
5.5003	99978.60622
5.9225	99961.69021
6.3443	100043.28509
6.7664	100027.36414
7.1886	99945.76926
7.6109	99978.60622
8.0331	99978.60622
8.4553	99994.52717
8.8776	100059.20604
9.2956	99978.60622
9.7258	99994.52717
