# potencia laser durante la medida en theta = 100.00 deg
# t[s]	P[uW]
0.0191	100010.94745
0.4418	100010.94745
0.8641	99946.25796
1.2901	99978.10510
1.7123	99962.18153
2.1346	99978.10510
2.5520	99962.18153
2.9742	100026.87102
3.3930	99995.02389
3.8153	99978.10510
4.2375	100026.87102
4.6597	99946.25796
5.0788	99995.02389
5.5060	99978.10510
5.9282	99962.18153
6.3458	99929.33917
6.7679	99995.02389
7.1866	99962.18153
7.6051	100010.94745
8.0274	99995.02389
8.4463	99962.18153
8.8685	99962.18153
9.2981	99946.25796
9.7202	100026.87102
